USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  24660 15876 ?        Ss   Feb08   6:38 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    Feb08   0:03 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    Feb08   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/0:0H-events_highpri]
root          12  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    Feb08   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    Feb08   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    Feb08   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    Feb08   7:14 [ksoftirqd/0]
root          17  0.4  0.0      0     0 ?        I    Feb08 200:49 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    Feb08   0:53 [migration/0]
root          19  0.0  0.0      0     0 ?        S    Feb08   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    Feb08   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    Feb08   0:00 [cpuhp/2]
root          22  0.0  0.0      0     0 ?        S    Feb08   0:00 [idle_inject/2]
root          23  0.0  0.0      0     0 ?        S    Feb08   0:32 [migration/2]
root          24  0.0  0.0      0     0 ?        S    Feb08   2:03 [ksoftirqd/2]
root          26  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/2:0H-events_highpri]
root          27  0.0  0.0      0     0 ?        S    Feb08   0:00 [cpuhp/4]
root          28  0.0  0.0      0     0 ?        S    Feb08   0:00 [idle_inject/4]
